Layout Name,Available when content is being shared,Available when content is not being shared?,Has Layout Options?,Layout Options Functions,Swap content available when content shared,Has Show/Hide Self View toggle?,Has Show/hide non-participants toggle?,Has Sort By,Has Thumbnails Position?
Speaker,TRUE,,If more than 1 participant,Off/Normal w/ position/2x w/ position,TRUE,TRUE,TRUE,,
Thumbnail,TRUE,,TRUE,,TRUE,,,,
Gallery,TRUE,,FALSE,,,,,TRUE,
Dynamic Gallery,TRUE,,FALSE,,,,,TRUE,
Multi-speaker,TRUE,,FALSE,,,,,,TRUE
Shared Content,TRUE,FALSE,TRUE,Off/Normal w/ position/2x w/ position,,,,,
Thumbnail & Share,TRUE,FALSE,TRUE,,TRUE,,,TRUE,TRUE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sort by options:,Default,,,,,,,
,,Alphabetical,,,,,,,
,,Reverse alphabeltical,,,,,,,
,,,,,,,,,
,Thumbnails position options:,Top,,,,,,,
,,Bottom,,,,,,,
